Description,Rank 3 Months to 13 Jun 2026,Rank YoY Change,Median Salary,Median Salary YoY Change,Live Jobs,Historical Absolute & Relative Jobs Vacancies_absolute,Historical Absolute & Relative Jobs Vacancies_relative,period,date_scraped,source_url,page,Rank 6 Months to 13 Jun 2026
Databricks,186,Down -116 places-116,"£85,000",+13.33%,413,548,1.01%,3mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=5,5,
Snowflake,330,Down -34 places-34,"£85,000",+6.25%,192,255,0.47%,3mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=9,9,
R,484,Down -162 places-162,"£65,000",+2.36%,192,83,0.15%,3mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=3&page=19,19,
Azure,,Up 3 places+3,"£65,000",+4.66%,"2,924","12,079",13.03%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,3
AI,,Up 6 places+6,"£70,000",+5.58%,"3,735","7,225",7.79%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,10
Python,,Down -2 places-2,"£70,000",-3.44%,"2,428","6,637",7.16%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,12
Software Engineering,,Up 6 places+6,"£70,000",-6.04%,"1,678","6,556",7.07%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,13
Cybersecurity,,Up 21 places+21,"£60,000",+4.34%,"1,905","6,395",6.90%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,15
SQL,,Down -8 places-8,"£57,500",-4.16%,"2,053","5,920",6.38%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,19
AWS,,Down -8 places-8,"£72,500",-,"2,102","5,897",6.36%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6,1,20
Java,,Down -28 places-28,"£70,000",-6.66%,707,"2,554",2.75%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,54
JavaScript,,Down -40 places-40,"£57,500",-11.53%,766,"2,197",2.37%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=2,2,70
Data Science,,Down -13 places-13,"£70,000",-3.44%,833,"1,257",1.36%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=4,4,148
Databricks,,Down -103 places-103,"£85,000",+9.67%,413,880,0.95%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=5,5,207
Snowflake,,Down -46 places-46,"£83,750",+1.51%,192,429,0.46%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=9,9,367
R,,Down -126 places-126,"£45,000",-27.41%,192,242,0.26%,6mo,2026-06-14,https://www.itjobswatch.co.uk/default.aspx?q=&l=&ll=&id=0&e=5&sortby=&orderby=&p=6&page=13,13,498
